Mandant,Parkareal-ID,Parkfläche,Parkeinheit,B2B Partner ID (Spedition),B2B Partner (Spedition),Zutrittsmedium,Kundengruppe,Unnamed: 0,ParkingAreaID,ParkingName,Address,City,Unnamed: 5,Unnamed: 6,Unnamed: 7,merge_key,Name,Adress,City_koords,CountryCode,Longitude,Latitude,100 kW to 250 kW,24/7,Accomodation,App Parking,B2C Prohibited,Bosch partner network,CCS2,CCTV ,Certified,Charging card,Credit card,Dangerous Goods Allowed,De-Minimis,Decoupling of Trailers,Diesel,Electricity Charging,Electricity Supply for Frigo,Extra Long Truck Allowed,Fence,Flow Parking,Forward entry ,Forward exit ,Frigo allowed,Gate,Guard personal (24 hours) or Control Center,Has Realtime Data,Hydrogen,Internetlink,Less than 100 kW,Licence plate,Lighting,Liquefied Natural Gas,MCS,Mobile Ticket Payment,More than 250 kW,Occupancy information,On the go,Parking Fee,Personal access control,Petrol station,PIN,QR-Code,Reception parking,Reservable,Restaurant/ Shop,Restricted vehicle access,Restroom,Shower,Truck only,Truck repair,Truck wash,Vending Machines,Wifi,Detail Link,TariffGross,TariffNet,Silver,Gold,Provider,PreBooking URL,Raw Feature IDs
Travis Extern FR,2906,Truck Parking Montmarault by Certas Energy France,Truck Parking Montmarault by Certas Energy France,352.0,KAWCZYŃSKI LOGISTICS SP. Z O.O.,CNA26349,B2B,,2906.0,Truck Parking Montmarault by Certas Energy France,ZAC du Château d'Eau ,Montmarault,03390,FR,Travis,zac du château d'eau montmarault,Truck Parking Montmarault by Certas Energy France,ZAC du Château d'Eau ,Montmarault,FR,2.97515574,46.32967118,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5357&locale=en,12h: 22.33€    1h: 2.50€    24h: 26.67€    48h: 40.00€    72h: 58.33€    ,12h: 22.33€    1h: 2.50€    24h: 26.67€    48h: 40.00€    72h: 58.33€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2905,"1007, 1011, 1101, 1017, 1012, 1302, 1020, 1005, 1014, 1003"
Travis Extern FR,2318,Centre Routier de Fondeyre (Secure Parking),Centre Routier de Fondeyre (Secure Parking),4133.0,Panda Logistics sp. z o.o. ,BI576GF,B2B,,2318.0,Centre Routier de Fondeyre (Secure Parking),Avenue de Fondeyre 1,Toulouse,31200,FR,Travis,avenue de fondeyre 1 toulouse,Centre Routier de Fondeyre (Secure Parking),Avenue de Fondeyre 1,Toulouse,FR,1.42543357,43.64485945,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5083&locale=en,12h: 17.50€    24h: 26.67€    48h: 46.67€    9h: 17.08€    72h: 66.67€    ,12h: 17.50€    24h: 26.67€    48h: 46.67€    9h: 17.08€    72h: 66.67€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2317,"1004, 1007, 1011, 1101, 1017, 1012, 1302, 1020, 1013, 1005, 1014"
Travis Extern FR,2304,Mecano Service 39,Mecano Service 39,1935.0,"UAB ""Girtrans"" ",MJA914,B2B,,2304.0,Mecano Service 39,Rue des chaucheux 1,Foucherans,39100,FR,Travis,rue des chaucheux 1 foucherans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Extern FR,2082,Truckhous,Truckhous,8553.0,Imperial Trans Sp.z.o.o.,RZ2449Y,B2B,,2082.0,Truckhous,Rue René Laennec 19,La Chapelle d'Armentières,59930,FR,Travis,rue rené laennec 19 la chapelle d'armentières,Truckhous,Rue René Laennec 19,La Chapelle d'Armentières,FR,2.90331824,50.65006417,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5059&locale=en,12h: 18.00€    24h: 21.50€    48h: 38.50€    72h: 55.00€    ,12h: 18.00€    24h: 21.50€    48h: 38.50€    72h: 55.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2081,"1007, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,2292,Delisle Depot Parking Torcy,Delisle Depot Parking Torcy,352.0,KAWCZYŃSKI LOGISTICS SP. Z O.O.,CNA28465,B2B,,2292.0,Delisle Depot Parking Torcy,Route de Brienne 66,Torcy le Grand,10700,FR,Travis,route de brienne 66 torcy le grand,Delisle Depot Parking Torcy,Route de Brienne 66,Torcy le Grand,FR,4.17457582,48.52991645,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4949&locale=en,12h: 16.00€    24h: 18.00€    48h: 36.00€    72h: 54.00€    ,12h: 16.00€    24h: 18.00€    48h: 36.00€    72h: 54.00€    ,no,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2291,"1004, 1101, 1017, 1012, 1302, 1020, 1005"
Travis Extern FR,2144,Keolia Park'n Stock,Keolia Park'n Stock,352.0,KAWCZYŃSKI LOGISTICS SP. Z O.O.,CNA31916,B2B,,2144.0,Keolia Park'n Stock,Avenue des Frères Lumière 6,Trappes,78190,FR,Travis,avenue des frères lumière 6 trappes,Keolia Park'n Stock,Avenue des Frères Lumière 6,Trappes,FR,2.00259232,48.76650091,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5228&locale=en,24h: 24.80€    48h: 59.80€    72h: 81.70€    ,24h: 24.80€    48h: 59.80€    72h: 81.70€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2143,"1007, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,8252,Active Depannage 88 - (Depot Parking),Active Depannage 88 - (Depot Parking),2808.0,UAB Transrapidus Plius ,MDV793,B2B,,,,,,,,, ,Testareal,,,,8.666247,49.1964278,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4707&locale=en,,,no,no,Bosch,,
Travis Extern FR,2500,Dallas Location,Dallas Location,4394.0,Hasenkamp Internationale Transporte GmbH,BMOT542,B2B,,2500.0,Dallas Location,Chemin du lortaret 196,Saint Priest,69800,FR,Travis,chemin du lortaret 196 saint priest,Dallas Location,Chemin du lortaret 196,Saint Priest,FR,4.95574518,45.7092477,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5008&locale=en,24h: 25.00€    48h: 50.00€    72h: 75.00€    ,24h: 25.00€    48h: 50.00€    72h: 75.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2499,"1004, 1101, 1017, 1019, 1012, 1014"
Travis Extern FR,2730,Polley Secured Lorry Park,Polley Secured Lorry Park,3451.0,Milton Sp. Z o.o.,PZ398YA,B2B,,2730.0,Polley Secured Lorry Park,Avenue de la Liberté 356,Marck,62730,FR,Travis,avenue de la liberté 356 marck,Polley Secured Lorry Park,Avenue de la Liberté 356,Marck,FR,1.94636377,50.94133021,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5319&locale=en,12h: 23.33€    24h: 24.17€    48h: 40.00€    9h: 17.25€    72h: 70.83€    ,12h: 23.33€    24h: 24.17€    48h: 40.00€    9h: 17.25€    72h: 70.83€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2729,"1007, 1025, 1101, 1017, 1019, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,3356,Ferlay Transports - (Depot Parking),Ferlay Transports - (Depot Parking),1002.0,"Transportes Machado & Brites, Lda",81QT71L155321,B2B,,3356.0,Ferlay Transports - (Depot Parking),Avenue de l'Arcalod 36,Rumilly,74150,FR,Travis,avenue de l'arcalod 36 rumilly,Ferlay Transports - (Depot Parking),Avenue de l'Arcalod 36,Rumilly,FR,5.95473074,45.83615413,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5476&locale=en,12h: 17.00€    24h: 19.00€    48h: 36.00€    72h: 53.00€    ,12h: 17.00€    24h: 19.00€    48h: 36.00€    72h: 53.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3355,"1011, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,3580,Hyper Volume 49 - (Depot Parking),Hyper Volume 49 - (Depot Parking),4151.0,TRANS EURO EXPRESS 94 SRL ,B792EEX,B2B,,3580.0,Hyper Volume by TSD - (Depot Parking),Les Chênes Ronds,Saint Martin du Fouilloux,49170,FR,Travis,les chênes ronds saint martin du fouilloux,Hyper Volume 49 - (Depot Parking),Les Chênes Ronds ,Saint Martin du Fouilloux,FR,-0.69270582,47.43305004,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5546&locale=en,12h: 19.00€    24h: 21.00€    48h: 40.00€    72h: 60.00€    ,12h: 19.00€    24h: 21.00€    48h: 40.00€    72h: 60.00€    ,no,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3579,"1011, 1101, 1017, 1012, 1302, 1020, 1005"
Travis Extern FR,7702,Weber Transports - (Depot Parking),Weber Transports - (Depot Parking),10202.0,KRYSTIAN HENZEL ,PZ238SS,B2B,,7702.0,Weber Transports - (Depot Parking),2 Rue de Cherbourg,Strasbourg,67100,FR,Travis,2 rue de cherbourg strasbourg,Weber Transports - (Depot Parking),2 Rue de Cherbourg ,Strasbourg,FR,7.7851926,48.54403988,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5698&locale=en,12h: 18.00€    24h: 20.00€    48h: 38.00€    72h: 57.00€    ,12h: 18.00€    24h: 20.00€    48h: 38.00€    72h: 57.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=7701,"1011, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,2370,Delisle Depot Parking Saran,Delisle Depot Parking Saran,1932.0,EUPOLTRANS SP Z OO ,PZ5A858,B2B,,2370.0,Delisle Depot Parking Saran,Rue de Montaran 1771,Saran,45770,FR,Travis,rue de montaran 1771 saran,Delisle Depot Parking Saran,Rue de Montaran 1771,Saran,FR,1.91443573,47.94534688,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5170&locale=en,12h: 18.00€    24h: 20.00€    48h: 40.00€    72h: 60.00€    ,12h: 18.00€    24h: 20.00€    48h: 40.00€    72h: 60.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2369,"1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,3676,Transports Meslet - (Depot Parking & Wash),Transports Meslet - (Depot Parking & Wash),2808.0,UAB Transrapidus Plius ,KZM993,B2B,,3676.0,Transports Meslet - (Depot Parking & Wash),Rue Bernard Palissy 31,Gargenville,78440,FR,Travis,rue bernard palissy 31 gargenville,Transports Meslet - (Depot Parking & Wash),Rue Bernard Palissy 31,Gargenville,FR,1.80186958,48.97776661,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5567&locale=en,12h: 21.00€    24h: 24.00€    48h: 45.00€    72h: 67.50€    ,12h: 21.00€    24h: 24.00€    48h: 45.00€    72h: 67.50€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3675,"1007, 1011, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,2298,Delisle Depot Parking Bollène,Delisle Depot Parking Bollène,1157.0,Vlantana,NIR261,B2B,,2298.0,Delisle Depot Parking Bollène,ZA de La Préférence 1,Bollène,84500,FR,Travis,za de la préférence 1 bollène,Delisle Depot Parking Bollène,ZA de La Préférence 1,Bollène,FR,4.71999356,44.27866122,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5246&locale=en,12h: 17.00€    24h: 19.00€    48h: 37.00€    72h: 55.00€    ,12h: 17.00€    24h: 19.00€    48h: 37.00€    72h: 55.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2297,"1004, 1011, 1101, 1017, 1012, 1302, 1020, 1013, 1005, 1014"
Travis Extern FR,3320,Perrenot Robineau (Depot Parking),Perrenot Robineau (Depot Parking),2808.0,UAB Transrapidus Plius ,NDO768,B2B,,3320.0,Perrenot Robineau (Depot Parking),RN 23 - LD La Belle Inutile ,Soulitré,72370,FR,Travis,rn 23 - ld la belle inutile soulitré,Perrenot Robineau (Depot Parking),RN 23 - LD La Belle Inutile ,Soulitré,FR,0.42757032,48.03526584,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5429&locale=en,12h: 16.50€    24h: 18.00€    48h: 34.00€    72h: 50.00€    ,12h: 16.50€    24h: 18.00€    48h: 34.00€    72h: 50.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3319,"1011, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,2236,Transports Roche,Transports Roche,3702.0,TMD ARKADIUSZ DĄBROWSKI,WPR5542T,B2B,,2236.0,Transports Roche,Avenue Emile Zola 1,Gorron,53120,FR,Travis,avenue emile zola 1 gorron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Extern FR,3464,King Park - Paris la Villette,King Park - Paris la Villette,1504.0,AIRCARGO Transport GmbH,KLERE525,B2B,,3464.0,King Park - Paris la Villette,20 Av. de la Porte de la Villette ,Paris,75019,FR,Travis,20 av. de la porte de la villette paris,King Park - Paris la Villette,20 Av. de la Porte de la Villette ,Paris,FR,2.3881857,48.89949267,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5505&locale=en,12h: 35.00€    24h: 45.00€    48h: 60.00€    72h: 90.00€    ,12h: 35.00€    24h: 45.00€    48h: 60.00€    72h: 90.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3463,"1011, 1101, 1017, 1019, 1012, 1302, 1020, 1006, 1005, 1014, 1003"
Travis Extern FR,3358,Transports Cordier - (Depot Parking),Transports Cordier - (Depot Parking),4151.0,TRANS EURO EXPRESS 94 SRL ,B748EEX,B2B,,3358.0,Transports Cordier - (Depot Parking),35 Rue François Mitterrand,Is-sur-Tille,21120,FR,Travis,35 rue françois mitterrand is-sur-tille,Transports Cordier - (Depot Parking),35 Rue François Mitterrand ,Is-sur-Tille,FR,5.11552228,47.53142433,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5474&locale=en,12h: 20.00€    24h: 23.00€    48h: 45.00€    72h: 65.00€    ,12h: 20.00€    24h: 23.00€    48h: 45.00€    72h: 65.00€    ,no,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3357,"1011, 1101, 1017, 1012, 1302, 1020, 1005"
Travis Extern FR,7102,Camions Service 52 - (Depot Parking),Camions Service 52 - (Depot Parking),4151.0,TRANS EURO EXPRESS 94 SRL ,B721EEX,B2B,,7102.0,Camions Service 52 - (Depot Parking),10 Rue Jean Moulin ,Rolampont,52260,FR,Travis,10 rue jean moulin rolampont,Camions Service 52 - (Depot Parking),10 Rue Jean Moulin ,Rolampont,FR,5.28162003,47.94775861,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5693&locale=en,12h: 18.00€    24h: 20.00€    48h: 38.00€    72h: 56.00€    ,12h: 18.00€    24h: 20.00€    48h: 38.00€    72h: 56.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=7101,"1011, 1101, 1017, 1012, 1302, 1020, 1014"
Travis Extern FR,5054,Truck Parking Barrault - (Depot Parking),Truck Parking Barrault - (Depot Parking),2808.0,UAB Transrapidus Plius ,KZM993,B2B,,5054.0,Truck Parking Barrault - (Depot Parking),"Rue les Grands Champs, ZI Les Maisons Neuves",Velles,36330,FR,Travis,"rue les grands champs, zi les maisons neuves velles",Truck Parking Barrault - (Depot Parking),"Rue les Grands Champs, ZI Les Maisons Neuves ",Velles,FR,1.62333904,46.73765027,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5647&locale=en,12h: 20.00€    24h: 22.00€    48h: 42.00€    72h: 60.00€    ,12h: 20.00€    24h: 22.00€    48h: 42.00€    72h: 60.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=5053,"1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,3186,Pineau Dépannage (Depot Parking),Pineau Dépannage (Depot Parking),454.0,Daromar Sp. z o.o. ,WPR5866P,B2B,,3186.0,Pineau Dépannage (Depot Parking),Rue du Dery 9,Verrières-en-Anjou,49480,FR,Travis,rue du dery 9 verrières-en-anjou,Pineau Dépannage (Depot Parking),Rue du Dery 9,Verrières-en-Anjou,FR,-0.46525723,47.51462875,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5396&locale=en,12h: 15.75€    24h: 17.00€    48h: 33.00€    72h: 49.00€    ,12h: 15.75€    24h: 17.00€    48h: 33.00€    72h: 49.00€    ,no,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3185,"1007, 1101, 1017, 1012, 1302, 1020, 1005"
Travis Extern FR,2738,Perrenot Normandie (Depot Parking),Perrenot Normandie (Depot Parking),2808.0,UAB Transrapidus Plius ,NEB606,B2B,,2738.0,Perrenot Normandie (Depot Parking & Wash),Allée de la Fosse Moret - Eco Parc 2 400,Heudebouville,27400,FR,Travis,allée de la fosse moret - eco parc 2 400 heudebouville,Perrenot Normandie (Depot Parking),Allée de la Fosse Moret - Eco Parc 2 400,Heudebouville,FR,1.22739172,49.19311196,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5309&locale=en,12h: 21.00€    24h: 23.00€    48h: 40.00€    72h: 60.00€    ,12h: 21.00€    24h: 23.00€    48h: 40.00€    72h: 60.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2737,"1011, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,2334,SARL A84 Véhicule Industriel,SARL A84 Véhicule Industriel,853.0,NV Schenker,KR6XC69,B2B,,2334.0,SARL A84 Véhicule Industriel,ZA Eco 5 ,Coulvain,14310,FR,Travis,za eco 5 coulvain,SARL A84 Véhicule Industriel,ZA Eco 5 ,Coulvain,FR,-0.71434446,49.05309735,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4952&locale=en,24h: 20.00€    48h: 40.00€    72h: 60.00€    ,24h: 20.00€    48h: 40.00€    72h: 60.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2333,"1101, 1017, 1012, 1302, 1020, 1014"
Travis Extern FR,2678,TWV PARK,TWV PARK,352.0,KAWCZYŃSKI LOGISTICS SP. Z O.O.,CNA29581,B2B,,2678.0,TWV PARK,Rue Pierre et Marie Curie - A26 exit 6.1 620,Labourse,62113,FR,Travis,rue pierre et marie curie - a26 exit 6.1 620 labourse,TWV PARK,Rue Pierre et Marie Curie - A26 exit 6.1 620,Labourse,FR,2.68626519,50.48559046,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5295&locale=en,12h: 32.50€    24h: 37.50€    48h: 55.00€    72h: 92.50€    ,12h: 32.50€    24h: 37.50€    48h: 55.00€    72h: 92.50€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2677,"1007, 1101, 1017, 1019, 1012, 1302, 1020, 1005, 1014, 1003"
Travis Extern FR,6352,Truck Parking Pihen - (Transports Pihen),Truck Parking Pihen - (Transports Pihen),3305.0,Falkuslog SA ,75UM90,B2B,,6352.0,Truck Parking Pihen - (Transports Pihen),369 Route d'Arsy ,Remy,60190,FR,Travis,369 route d'arsy remy,Truck Parking Pihen - (Transports Pihen),369 Route d'Arsy ,Remy,FR,2.69974882,49.43158662,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5668&locale=en,12h: 22.00€    24h: 24.00€    48h: 45.00€    72h: 67.00€    ,12h: 22.00€    24h: 24.00€    48h: 45.00€    72h: 67.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=6351,"1011, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,3694,Humeau Transports - (Depot Parking),Humeau Transports - (Depot Parking),4151.0,TRANS EURO EXPRESS 94 SRL ,B739EEX,B2B,,3694.0,Humeau Transports,	8 Impasse du Fenil,Montrevault sur Evre,49110,FR,Travis,8 impasse du fenil montrevault sur evre,Humeau Transports - (Depot Parking),8 Impasse du Fenil ,Montrevault sur Evre,FR,-1.02115844,47.26718757,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5578&locale=en,12h: 17.00€    24h: 22.00€    48h: 38.00€    72h: 47.00€    ,12h: 17.00€    24h: 22.00€    48h: 38.00€    72h: 47.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3693,"1011, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
